"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,468;01/04/25;"10:37:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,478;01/04/25;"10:37:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,416;01/04/25;"10:37:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,462;01/04/25;"10:37:32";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,664;01/04/25;"10:38:49";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,506;01/04/25;"10:39:01";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,608;01/04/25;"10:39:36";"SAIDA"
"145921";"CARNE BOV RSF KG GRANITO";0,988;01/04/25;"10:40:32";"SAIDA"
"145896";"CARNE BOV RSF KG ALCATRA";2,148;01/04/25;"10:41:13";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,896;01/04/25;"10:42:15";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,786;01/04/25;"10:42:15";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,88;01/04/25;"10:42:24";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,286;01/04/25;"10:42:26";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";1,218;01/04/25;"10:44:55";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,462;01/04/25;"10:45:27";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,438;01/04/25;"10:45:27";"SAIDA"
"145906";"CARNE BOV RSF KG CONTRAFILE";0,454;01/04/25;"10:46:48";"SAIDA"
"145893";"CARNE BOV RSF KG PATINHO";0,896;01/04/25;"10:48:48";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,386;01/04/25;"10:48:48";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,76;01/04/25;"10:50:47";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,518;01/04/25;"10:51:36";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,922;01/04/25;"10:51:39";"SAIDA"
"145926";"CARNE BOV RSF KG COSTELA JANELA";2,284;01/04/25;"10:53:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,088;01/04/25;"10:53:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,018;01/04/25;"10:53:44";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,678;01/04/25;"10:53:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,46;01/04/25;"10:54:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,424;01/04/25;"10:54:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,512;01/04/25;"10:54:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,502;01/04/25;"10:54:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,536;01/04/25;"10:54:11";"SAIDA"
